Category,Total_Cases,Correct,Expected_Redactions,Actual_Redactions,Accuracy_Pct
PHONE,100,100,200,200,100
SECRET_TOKEN,100,100,300,300,100
COMPOSITE_PII,100,100,500,500,100
CLEAN_CONTROL,100,100,0,0,100
EMAIL,100,100,200,200,100
