Scenario_Type,Total_Cases,Correctly_Identified,Avg_Penalty_Assigned,Accuracy_Pct
BASELINE_NORMAL,200,200,0,100
IP_DRIFT,100,100,40,100
DEVICE_DRIFT,100,100,45,100
MULTI_VECTOR_ANOMALY,100,100,60,100
